config_string,train_loss,train_accuracy,train_error,validation_loss,validation_accuracy,validation_error
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.4597082737419246&fully_connected_dropout=0.41195536492325446,0.0730306,0.955078125,0.044921875,2.25246,0.818359375,0.181640625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.5929341388499221&fully_connected_dropout=0.6998732153897943,0.0131035,0.99609375,0.00390625,2.03344,0.815755208333,0.184244791667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.7119501244799366&fully_connected_dropout=0.9659109575730381,6.47133E-05,1,0,1.63271,0.811197916667,0.188802083333
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.24227736279851186&fully_connected_dropout=0.9501834597471858,7.0733E-05,1,0,1.82333,0.811197916667,0.188802083333
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.8004013752419782&fully_connected_dropout=0.7816703938882009,0.000253338,1,0,2.32192,0.825520833333,0.174479166667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.43457947867683866&fully_connected_dropout=0.8594622729979291,7.41462E-05,1,0,1.95034,0.810546875,0.189453125
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.8121151331313572&fully_connected_dropout=0.9615334707708567,2.61156E-05,1,0,1.89552,0.805338541667,0.194661458333
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.8586109425893315&fully_connected_dropout=0.2795321667181626,1.0006,0.466796875,0.533203125,1.16628,0.302734375,0.697265625
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.36691866862701406&fully_connected_dropout=0.5764850948289554,0.171691,0.845703125,0.154296875,2.37618,0.616536458333,0.383463541667
lstm_layers=1&lstm_size=512&fully_connected_layers=2&fully_connected_size=20&batch_size=512&learning_rate=0.003280500000000001&lstm_dropout=0.6369571660687574&fully_connected_dropout=0.5127252452950932,0.0139212,0.99609375,0.00390625,2.942,0.814453125,0.185546875
